1	java.base	java.io.Console	echo(boolean)	files
2	java.base	java.io.Console	encoding()	internal
3	java.base	java.io.Console	istty()	files
4	java.base	java.io.FileCleanable	cleanupClose0(int, long)	files
5	java.base	java.io.FileDescriptor	close0()	files
6	java.base	java.io.FileDescriptor	getAppend(int)	files
7	java.base	java.io.FileDescriptor	getHandle(int)	internal
8	java.base	java.io.FileDescriptor	initIDs()	internal
9	java.base	java.io.FileDescriptor	sync()	files
10	java.base	java.io.FileInputStream	available0()	files
11	java.base	java.io.FileInputStream	initIDs()	internal
12	java.base	java.io.FileInputStream	length0()	files
13	java.base	java.io.FileInputStream	open0(java.lang.String)	files
14	java.base	java.io.FileInputStream	position0()	files
15	java.base	java.io.FileInputStream	read0()	files
16	java.base	java.io.FileInputStream	readBytes(byte[], int, int)	files
17	java.base	java.io.FileInputStream	skip0(long)	files
18	java.base	java.io.FileOutputStream	initIDs()	internal
19	java.base	java.io.FileOutputStream	open0(java.lang.String, boolean)	files
20	java.base	java.io.FileOutputStream	write(int, boolean)	files
21	java.base	java.io.FileOutputStream	writeBytes(byte[], int, int, boolean)	files
22	java.base	java.io.ObjectStreamClass	hasStaticInitializer(java.lang.Class)	internal
23	java.base	java.io.ObjectStreamClass	initNative()	internal
24	java.base	java.io.RandomAccessFile	getFilePointer()	files
25	java.base	java.io.RandomAccessFile	initIDs()	internal
26	java.base	java.io.RandomAccessFile	length()	files
27	java.base	java.io.RandomAccessFile	open0(java.lang.String, int)	files
28	java.base	java.io.RandomAccessFile	read0()	files
29	java.base	java.io.RandomAccessFile	readBytes(byte[], int, int)	files
30	java.base	java.io.RandomAccessFile	seek0(long)	files
31	java.base	java.io.RandomAccessFile	setLength(long)	files
32	java.base	java.io.RandomAccessFile	write0(int)	files
33	java.base	java.io.RandomAccessFile	writeBytes(byte[], int, int)	files
34	java.base	java.io.UnixFileSystem	canonicalize0(java.lang.String)	files
35	java.base	java.io.UnixFileSystem	checkAccess(java.io.File, int)	files
36	java.base	java.io.UnixFileSystem	createDirectory(java.io.File)	files
37	java.base	java.io.UnixFileSystem	createFileExclusively(java.lang.String)	files
38	java.base	java.io.UnixFileSystem	delete0(java.io.File)	files
39	java.base	java.io.UnixFileSystem	getBooleanAttributes0(java.io.File)	files
40	java.base	java.io.UnixFileSystem	getLastModifiedTime(java.io.File)	files
41	java.base	java.io.UnixFileSystem	getLength(java.io.File)	files
42	java.base	java.io.UnixFileSystem	getNameMax0(java.lang.String)	files
43	java.base	java.io.UnixFileSystem	getSpace(java.io.File, int)	files
44	java.base	java.io.UnixFileSystem	initIDs()	internal
45	java.base	java.io.UnixFileSystem	list(java.io.File)	files
46	java.base	java.io.UnixFileSystem	rename0(java.io.File, java.io.File)	files
47	java.base	java.io.UnixFileSystem	setLastModifiedTime(java.io.File, long)	files
48	java.base	java.io.UnixFileSystem	setPermission(java.io.File, int, boolean, boolean)	files
49	java.base	java.io.UnixFileSystem	setReadOnly(java.io.File)	files
50	java.base	java.lang.Class	desiredAssertionStatus0(java.lang.Class)	internal
51	java.base	java.lang.Class	forName0(java.lang.String, boolean, java.lang.ClassLoader, java.lang.Class)	internal
52	java.base	java.lang.Class	getConstantPool()	internal
53	java.base	java.lang.Class	getDeclaredClasses0()	internal
54	java.base	java.lang.Class	getDeclaredConstructors0(boolean)	internal
55	java.base	java.lang.Class	getDeclaredFields0(boolean)	internal
